Action speed (MB/min),Command Line,Destination directory,Directories created,Directories processed,Elapsed time in sec.,Exit code,File name template,Files copied,Log File Appended,Source base directory,Total data in bytes,date,time,windows version,xxcopy version
237.2,xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log,"""R:\speed-test\little_files\""","1,490","1,491",162.3 (2 min 42 sec),"0 (No error, Successful operation)","""*""","24,344",X:\Software\Speed-test\stats\GEOMATT\server2drobo_straight-little_files.log,"""X:\Software\Speed-test\source\little_files\""","641,411,602",2008-10-22,09:58:02, 5.2.3790 service pack 2,2.97.5
55.67,xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2drobo-usb_diff-little_files.log,"""\\droboshare\drobo\speed-test\little_files\""",76,"1,491",225 (3 min 44 sec),"0 (No error, Successful operation)","""*""",532,"24,344",K:\Software\Speed-test\stats\GEOMATT\server2drobo-usb_diff-little_files.log,"""K:\Software\Speed-test\source\little_files\""","208,731,021",2008-10-15,10:11:06, 5.2.3790 service pack 2,2.97.5
56.35,xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2drobo-usb_diff-little_files.log,"""\\droboshare\drobo\speed-test\little_files\""",76,"1,491",222.3 (3 min 42 sec),"0 (No error, Successful operation)","""*""",532,"24,344",K:\Software\Speed-test\stats\GEOMATT\server2drobo-usb_diff-little_files.log,"""K:\Software\Speed-test\source\little_files\""","208,731,021",2008-10-15,10:17:38, 5.2.3790 service pack 2,2.97.5
56.03,xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2drobo-usb_diff-little_files.log,"""\\droboshare\drobo\speed-test\little_files\""",76,"1,491",223.5 (3 min 43 sec),"0 (No error, Successful operation)","""*""",532,"24,344",K:\Software\Speed-test\stats\GEOMATT\server2drobo-usb_diff-little_files.log,"""K:\Software\Speed-test\source\little_files\""","208,731,021",2008-10-15,10:24:07, 5.2.3790 service pack 2,2.97.5
55.99,xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2drobo-usb_diff-little_files.log,"""\\droboshare\drobo\speed-test\little_files\""",76,"1,491",223.7 (3 min 43 sec),"0 (No error, Successful operation)","""*""",532,"24,344",K:\Software\Speed-test\stats\GEOMATT\server2drobo-usb_diff-little_files.log,"""K:\Software\Speed-test\source\little_files\""","208,731,021",2008-10-15,10:30:37, 5.2.3790 service pack 2,2.97.5
56.57,xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2drobo-usb_diff-little_files.log,"""\\droboshare\drobo\speed-test\little_files\""",76,"1,491",221.4 (3 min 41 sec),"0 (No error, Successful operation)","""*""",532,"24,344",K:\Software\Speed-test\stats\GEOMATT\server2drobo-usb_diff-little_files.log,"""K:\Software\Speed-test\source\little_files\""","208,731,021",2008-10-15,10:37:06, 5.2.3790 service pack 2,2.97.5
54.8,xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log,"""\\droboshare\drobo\speed-test\little_files\""",76,"1,491",228.6 (3 min 48 sec),"0 (No error, Successful operation)","""*""",532,"24,344",K:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log,"""K:\Software\Speed-test\source\little_files\""","208,731,021",2008-10-15,12:54:45, 5.2.3790 service pack 2,2.97.5
54.48,xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log,"""\\droboshare\drobo\speed-test\little_files\""",76,"1,491",229.9 (3 min 49 sec),"0 (No error, Successful operation)","""*""",532,"24,344",K:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log,"""K:\Software\Speed-test\source\little_files\""","208,731,021",2008-10-15,13:54:36, 5.2.3790 service pack 2,2.97.5
54.36,xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log,"""\\droboshare\drobo\speed-test\little_files\""",76,"1,491",230.4 (3 min 50 sec),"0 (No error, Successful operation)","""*""",532,"24,344",K:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log,"""K:\Software\Speed-test\source\little_files\""","208,731,021",2008-10-15,14:56:18, 5.2.3790 service pack 2,2.97.5
53.83,xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log,"""\\droboshare\drobo\speed-test\little_files\""",76,"1,491",232.7 (3 min 52 sec),"0 (No error, Successful operation)","""*""",532,"24,344",K:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log,"""K:\Software\Speed-test\source\little_files\""","208,731,021",2008-10-15,15:57:37, 5.2.3790 service pack 2,2.97.5
52.92,xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log,"""\\droboshare\drobo\speed-test\little_files\""",76,"1,491",236.6 (3 min 56 sec),"0 (No error, Successful operation)","""*""",532,"24,344",K:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log,"""K:\Software\Speed-test\source\little_files\""","208,731,021",2008-10-15,16:53:41, 5.2.3790 service pack 2,2.97.5
55.58,xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log,"""\\droboshare\drobo\speed-test\little_files\""",76,"1,491",225.3 (3 min 45 sec),"0 (No error, Successful operation)","""*""",532,"24,344",K:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log,"""K:\Software\Speed-test\source\little_files\""","208,731,021",2008-10-15,17:49:24, 5.2.3790 service pack 2,2.97.5
55.14,xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log,"""\\droboshare\drobo\speed-test\little_files\""",76,"1,491",227.1 (3 min 47 sec),"0 (No error, Successful operation)","""*""",532,"24,344",K:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log,"""K:\Software\Speed-test\source\little_files\""","208,731,021",2008-10-15,18:46:19, 5.2.3790 service pack 2,2.97.5
54.67,xxcopy /yy /of0 /clone /ff /pb K:\Software\Speed-test\source\little_files \\droboshare\drobo\speed-test\little_files /oaK:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log,"""\\droboshare\drobo\speed-test\little_files\""",76,"1,491",229.1 (3 min 49 sec),"0 (No error, Successful operation)","""*""",532,"24,344",K:\Software\Speed-test\stats\GEOMATT\server2dshare_diff-little_files.log,"""K:\Software\Speed-test\source\little_files\""","208,731,021",2008-10-15,19:43:31, 5.2.3790 service pack 2,2.97.5
